"","n0_j_bin","n0_y_bin","n0_a_bin","condition","decision","0-162.5","162.5-325","325-487.5","487.5-650"
"199","0-43.75","25-37.5","25-50",2,3,1,0,0,0
"200","0-43.75","25-37.5","25-50",2,4,1,0,0,0
"201","0-43.75","25-37.5","25-50",2,5,1,0,0,0
"202","0-43.75","25-37.5","25-50",2,6,1,0,0,0
"203","0-43.75","25-37.5","25-50",2,7,1,0,0,0
"204","0-43.75","25-37.5","25-50",3,1,0.0625,0.9375,0,0
"205","0-43.75","25-37.5","25-50",3,2,0.114583333333333,0.885416666666667,0,0
"206","0-43.75","25-37.5","25-50",3,3,0.181034482758621,0.818965517241379,0,0
"207","0-43.75","25-37.5","25-50",3,4,0.0543478260869565,0.945652173913043,0,0
"208","0-43.75","25-37.5","25-50",3,5,0.157303370786517,0.842696629213483,0,0
"209","0-43.75","25-37.5","25-50",3,6,0.0843373493975904,0.91566265060241,0,0
"210","0-43.75","25-37.5","25-50",3,7,0.0232558139534884,0.976744186046512,0,0
"211","0-43.75","25-37.5","50-75",1,1,0.987341772151899,0.0126582278481013,0,0
"212","0-43.75","25-37.5","50-75",1,2,1,0,0,0
"213","0-43.75","25-37.5","50-75",1,3,1,0,0,0
"214","0-43.75","25-37.5","50-75",1,4,1,0,0,0
"215","0-43.75","25-37.5","50-75",1,5,1,0,0,0
"216","0-43.75","25-37.5","50-75",1,6,1,0,0,0
"217","0-43.75","25-37.5","50-75",1,7,0.979591836734694,0.0204081632653061,0,0
"218","0-43.75","25-37.5","50-75",2,1,0.618421052631579,0.381578947368421,0,0
"219","0-43.75","25-37.5","50-75",2,2,0.815789473684211,0.184210526315789,0,0
"220","0-43.75","25-37.5","50-75",2,3,0.870588235294118,0.129411764705882,0,0
"221","0-43.75","25-37.5","50-75",2,4,0.706666666666667,0.293333333333333,0,0
"222","0-43.75","25-37.5","50-75",2,5,0.623529411764706,0.376470588235294,0,0
"223","0-43.75","25-37.5","50-75",2,6,0.656565656565657,0.343434343434343,0,0
"224","0-43.75","25-37.5","50-75",2,7,0.509259259259259,0.490740740740741,0,0
"225","0-43.75","25-37.5","50-75",3,1,0,1,0,0
"226","0-43.75","25-37.5","50-75",3,2,0,1,0,0
"227","0-43.75","25-37.5","50-75",3,3,0,1,0,0
"228","0-43.75","25-37.5","50-75",3,4,0,1,0,0
"229","0-43.75","25-37.5","50-75",3,5,0,1,0,0
"230","0-43.75","25-37.5","50-75",3,6,0,1,0,0
"231","0-43.75","25-37.5","50-75",3,7,0,0.980952380952381,0.019047619047619,0
"232","0-43.75","25-37.5","75-100",1,1,0.625,0.375,0,0
"233","0-43.75","25-37.5","75-100",1,2,0.804597701149425,0.195402298850575,0,0
"234","0-43.75","25-37.5","75-100",1,3,0.866666666666667,0.133333333333333,0,0
"235","0-43.75","25-37.5","75-100",1,4,0.6125,0.3875,0,0
"236","0-43.75","25-37.5","75-100",1,5,0.6625,0.3375,0,0
"237","0-43.75","25-37.5","75-100",1,6,0.602272727272727,0.397727272727273,0,0
"238","0-43.75","25-37.5","75-100",1,7,0.409638554216867,0.590361445783133,0,0
"239","0-43.75","25-37.5","75-100",2,1,0.0454545454545455,0.954545454545455,0,0
"240","0-43.75","25-37.5","75-100",2,2,0.131868131868132,0.868131868131868,0,0
"241","0-43.75","25-37.5","75-100",2,3,0.216867469879518,0.783132530120482,0,0
"242","0-43.75","25-37.5","75-100",2,4,0.021505376344086,0.978494623655914,0,0
"243","0-43.75","25-37.5","75-100",2,5,0.0309278350515464,0.969072164948454,0,0
"244","0-43.75","25-37.5","75-100",2,6,0.104761904761905,0.895238095238095,0,0
"245","0-43.75","25-37.5","75-100",2,7,0.0138888888888889,0.986111111111111,0,0
"246","0-43.75","25-37.5","75-100",3,1,0,0.75,0.25,0
"247","0-43.75","25-37.5","75-100",3,2,0,0.849462365591398,0.150537634408602,0
"248","0-43.75","25-37.5","75-100",3,3,0,0.908045977011494,0.0919540229885057,0
