"","n0_a_bin","n0_j_bin","condition","decision","mortalityType","0-50","50-100","100-150","150-200"
"276","25-50","87.5-131.25",2,5,2,0.982182628062361,0.0178173719376392,0,0
"277","25-50","87.5-131.25",2,6,1,0.995555555555556,0.00444444444444444,0,0
"278","25-50","87.5-131.25",2,6,2,0.991061452513966,0.00893854748603352,0,0
"279","25-50","87.5-131.25",2,7,1,0.986813186813187,0.0131868131868132,0,0
"280","25-50","87.5-131.25",2,7,2,0.97887323943662,0.0211267605633803,0,0
"281","25-50","87.5-131.25",3,1,1,0.704845814977974,0.295154185022026,0,0
"282","25-50","87.5-131.25",3,1,2,0.702734839476813,0.297265160523187,0,0
"283","25-50","87.5-131.25",3,2,1,0.702460850111857,0.297539149888143,0,0
"284","25-50","87.5-131.25",3,2,2,0.704826038159372,0.295173961840628,0,0
"285","25-50","87.5-131.25",3,3,1,0.707568807339449,0.29243119266055,0,0
"286","25-50","87.5-131.25",3,3,2,0.727168949771689,0.272831050228311,0,0
"287","25-50","87.5-131.25",3,4,1,0.762376237623762,0.237623762376238,0,0
"288","25-50","87.5-131.25",3,4,2,0.700902934537246,0.299097065462754,0,0
"289","25-50","87.5-131.25",3,5,1,0.859447004608295,0.140552995391705,0,0
"290","25-50","87.5-131.25",3,5,2,0.702762430939227,0.297237569060773,0,0
"291","25-50","87.5-131.25",3,6,1,0.903575297941495,0.0964247020585049,0,0
"292","25-50","87.5-131.25",3,6,2,0.703836930455635,0.296163069544364,0,0
"293","25-50","87.5-131.25",3,7,1,0.727578475336323,0.272421524663677,0,0
"294","25-50","87.5-131.25",3,7,2,0.704519119351101,0.295480880648899,0,0
"295","25-50","131.25-175",1,1,1,0.996407185628743,0.00359281437125748,0,0
"296","25-50","131.25-175",1,1,2,0.998798076923077,0.00120192307692308,0,0
"297","25-50","131.25-175",1,2,1,0.997674418604651,0.00232558139534884,0,0
"298","25-50","131.25-175",1,2,2,1,0,0,0
"299","25-50","131.25-175",1,3,1,0.995332555425904,0.00466744457409568,0,0
"300","25-50","131.25-175",1,3,2,0.998858447488584,0.00114155251141553,0,0
"301","25-50","131.25-175",1,4,1,1,0,0,0
"302","25-50","131.25-175",1,4,2,0.996428571428571,0.00357142857142857,0,0
"303","25-50","131.25-175",1,5,1,1,0,0,0
"304","25-50","131.25-175",1,5,2,0.99644128113879,0.00355871886120996,0,0
"305","25-50","131.25-175",1,6,1,1,0,0,0
"306","25-50","131.25-175",1,6,2,0.996629213483146,0.00337078651685393,0,0
"307","25-50","131.25-175",1,7,1,0.997633136094675,0.00236686390532544,0,0
"308","25-50","131.25-175",1,7,2,1,0,0,0
"309","25-50","131.25-175",2,1,1,0.984072810011377,0.0159271899886234,0,0
"310","25-50","131.25-175",2,1,2,0.986842105263158,0.0131578947368421,0,0
"311","25-50","131.25-175",2,2,1,0.989795918367347,0.0102040816326531,0,0
"312","25-50","131.25-175",2,2,2,0.984777517564403,0.0152224824355972,0,0
"313","25-50","131.25-175",2,3,1,0.985849056603774,0.0141509433962264,0,0
"314","25-50","131.25-175",2,3,2,0.976913730255164,0.023086269744836,0,0
"315","25-50","131.25-175",2,4,1,0.992957746478873,0.00704225352112676,0,0
"316","25-50","131.25-175",2,4,2,0.991504854368932,0.00849514563106796,0,0
"317","25-50","131.25-175",2,5,1,0.996677740863787,0.00332225913621262,0,0
"318","25-50","131.25-175",2,5,2,0.991990846681922,0.0080091533180778,0,0
